4,11
5,2866
6,1824
7,1181
8,791
9,608
10,458
11,377
12,262
13,219
14,172
15,160
16,123
17,99
18,73
19,60
20,48
21,63
22,46
23,54
24,46
25,38
26,26
27,33
28,26
29,23
30,20
31,11
32,19
33,17
34,12
35,12
36,10
37,13
38,17
39,10
40,5
41,6
42,7
43,7
44,2
45,2
46,4
47,4
48,6
49,7
50,4
51,5
52,4
53,4
54,5
55,3
56,2
57,3
58,3
59,4
60,3
61,1
62,2
64,4
65,1
66,2
67,3
68,2
70,3
71,3
72,2
73,2
74,2
75,2
76,2
77,1
78,2
79,1
80,1
81,1
82,2
83,1
84,2
86,1
88,1
89,2
91,2
93,1
95,1
96,1
97,1
99,1
100,1
102,1
105,2
107,1
108,1
111,2
115,1
117,1
120,1
121,1
123,1
126,1
135,1
138,1
142,2
143,1
149,1
153,1
154,1
172,1
216,1
323,1
365,1
386,1
493,1
1013,1
