4,18
5,28698
6,17776
7,11821
8,8357
9,6100
10,4569
11,3475
12,2708
13,2237
14,1785
15,1431
16,1204
17,1035
18,910
19,768
20,635
21,585
22,467
23,451
24,401
25,324
26,294
27,251
28,231
29,256
30,210
31,177
32,148
33,168
34,132
35,135
36,128
37,110
38,109
39,88
40,97
41,73
42,75
43,75
44,60
45,49
46,79
47,48
48,48
49,47
50,50
51,36
52,48
53,37
54,34
55,32
56,22
57,23
58,23
59,24
60,28
61,23
62,26
63,22
64,20
65,23
66,29
67,18
68,14
69,13
70,14
71,12
72,17
73,14
74,15
75,18
76,19
77,20
78,12
79,12
80,6
81,22
82,9
83,17
84,10
85,11
86,8
87,5
88,7
89,7
90,7
91,9
92,12
93,6
94,5
95,5
96,5
97,7
98,8
99,5
100,7
101,2
102,3
103,5
104,5
105,5
106,3
107,8
108,2
109,6
110,6
111,3
112,5
114,2
115,7
116,5
117,4
118,1
119,3
120,4
122,1
123,4
124,3
125,2
126,5
127,2
128,1
129,5
131,1
132,1
133,1
134,2
135,2
136,3
137,3
138,4
139,3
140,2
141,2
142,3
143,1
145,4
146,3
147,2
148,2
149,3
150,3
152,2
153,1
154,2
156,1
157,2
158,2
159,1
161,3
162,1
165,2
168,1
169,2
170,3
173,3
174,1
175,2
176,1
177,2
178,2
179,1
180,2
181,1
183,1
184,2
185,2
187,3
191,1
193,1
195,1
196,1
198,2
201,1
202,1
205,1
206,1
208,3
211,1
213,3
215,1
219,1
220,1
222,1
223,1
224,1
226,1
228,2
229,1
230,2
235,1
236,2
238,2
240,1
241,2
242,1
243,1
244,1
245,1
247,1
251,1
253,1
262,1
263,1
264,1
266,1
267,1
278,2
281,1
283,1
286,1
294,1
296,1
298,1
307,1
308,1
311,1
315,1
327,2
335,1
336,1
345,1
346,1
356,1
359,1
404,1
405,1
412,1
416,1
433,1
439,1
459,1
474,1
484,1
489,1
490,1
516,1
541,1
712,1
1124,1
1231,1
1239,1
1586,1
3346,1
